여행지 id,여행지명칭,분류,태그,지역구분,주소,여행지 경도,여행지 위도
TRAVEL_004817,서천 자연산 광어 도미 축제,관광지,축제/행사,충남,충청남도 서천군 서면 서인로 56,126.5036195,36.12937838
TRAVEL_004818,서천 홍원항 자연산 전어·꽃게 축제 2019,삭제,축제/행사,충남,충청남도 서천군 서면 홍원길 130-3,126.4992858,36.15887493
TRAVEL_004819,서피랑 마을,관광지,기타관광지,경남,경상남도 통영시 충렬로 22(서호동),128.4167949,34.84692909
TRAVEL_004820,서피비치,체험,기타레저,강원,강원도 양양군 현북면 하조대해안길 119(현북면),128.7174882,38.0277582
TRAVEL_004821,서해대교,관광지,기타관광지,경기,경기 평택시 포승읍 신영리 972,126.83333,36.948208
TRAVEL_004822,서해안 해수욕장을 따라 여행하다,관광지,기타관광지,충남,충남 보령시 신흑동 1029-3,126.5097753,36.31381569
TRAVEL_004823,서호시장 (새터시장),쇼핑,어시장,경남,경상남도 통영시 새터길 42-7,128.4194392,34.84129365
TRAVEL_004824,석계서원,관광지,문화유적,울산,울산광역시 울주군 웅촌면 대복동천로 160-12(웅촌면),129.23474,35.47023529
TRAVEL_004825,석남사(울산),관광지,문화유적,울산,울산광역시 울주군 상북면 석남로 557(상북면),129.0324007,35.62111731
TRAVEL_004826,석모도,관광지,섬,인천,인천광역시 강화군 삼산면 삼산북로 9(석포리 선착장),126.3228884,37.69670803
TRAVEL_004827,석모도 미네랄 온천,관광지,기타관광지,인천,인천광역시 강화군 삼산면 삼산남로 865-17,126.3127175,37.6853564
TRAVEL_004828,석모도 수목원,관광지,기타관광지,인천,인천광역시 강화군 삼산면 삼산북로449번길 161,126.3264049,37.69107819
TRAVEL_004829,석모도 아일랜드 펜션,숙박,펜션,인천,인천광역시 강화군 삼산면 삼산남로 990,126.3012433,37.69212208
TRAVEL_004830,석모도 자연휴양림,관광지,기타관광지,인천,인천광역시 강화군 삼산면 삼산서로 39-75,126.3153613,37.69948813
TRAVEL_004831,석봉도자기미술관,관광지,전시관,강원,강원도 속초시 엑스포로 156(교동),128.5825396,38.19796912
TRAVEL_004832,석포전망대,관광지,전망대/조망시설,경북,경북 울릉군 북면 천부리 산 10-1,130.901495,37.546839
TRAVEL_004833,선감어촌체험마을,관광지,어촌체험마을,경기,경기도 안산시 단원구 개건너길 78(선감동),126.6298902,37.22056044
TRAVEL_004834,선녀바위해수욕장,체험,기타레저,인천,인천광역시 중구 선녀바위로 60(을왕동),126.3786293,37.44033609
TRAVEL_004835,선녀와나무꾼 테마공원,관광지,공원,제주,제주특별자치도 제주시 조천읍 선교로 267,126.7019581,33.48009927
TRAVEL_004836,선도리갯벌체험마을,관광지,어촌체험마을,충남,충청남도 서천군 비인면 갯벌체험로 428-13,126.5909644,36.12964928
TRAVEL_004837,선두포낚시터,체험,기타레저,인천,인천 강화군 화도면 덕포리 1631,126.466571,37.630453
TRAVEL_004838,선셋호텔[한국관광 품질인증/Korea Quality],숙박,호텔,부산,부산광역시 해운대구 구남로 46(중동),129.16143,35.16018258
TRAVEL_004839,선소어촌체험마을,관광지,어촌체험마을,전남,전라남도 보성군 득량면 공룡로 806-32(득량면),127.1914612,34.70467371
